customer_id,churn
0-448-63605-0.986,0
1-61412-468-X.994,0
1-5410-3897-5.998,0
1-5219-6800-4.1012,0
0-658-96798-3.1014,0
0-495-66011-6.1022,0
0-643-41224-7.1035,0
1-57253-876-7.1038,0
0-667-71710-2.1044,0
0-644-12082-7.1047,0
0-11-706229-4.1058,0
1-896480-87-X.1062,0
1-988584-08-6.1093,0
0-309-41325-7.1102,0
0-07-548502-8.1112,0
1-951846-02-8.1115,0
0-662-59987-X.1122,0
0-8103-8892-8.1129,0
0-922196-08-7.1141,0
1-81888-906-4.1142,0
0-00-738399-1.1154,0
1-173-13298-8.1156,0
0-491-00588-1.1164,0
0-563-26243-5.1179,0
1-4374-0236-4.1180,0
0-7598-8851-5.1182,0
1-4432-8688-5.1187,0
0-680-41360-X.1205,0
0-949257-52-4.1211,0
0-488-95325-1.1231,1
0-03-673320-2.1235,0
0-658-01160-X.1267,0
1-157-38074-3.1281,0
1-4006-6913-8.1291,0
0-541-93731-6.1293,0
0-19-542667-3.1295,0
1-211-99395-7.1297,0
0-11-926203-7.1300,0
0-485-63813-4.1305,0
0-17-548550-X.1307,0
0-218-20646-1.1309,0
1-903333-57-1.1317,0
0-292-73104-3.1324,0
1-79332-769-6.1334,0
1-80865-216-9.1342,0
0-06-664181-0.1352,0
1-876658-08-8.1369,0
1-9806-3070-4.1384,0
0-532-29721-0.1390,0
0-15-090118-6.1428,0
1-304-25458-5.1430,0
1-216-96107-7.1433,0
0-245-81414-0.1446,0
0-204-35729-2.1462,0
1-4311-7147-6.1475,0
0-634-78135-9.1478,0
0-376-96859-1.1480,0
1-85038-449-5.1483,1
0-8453-4139-1.1488,0
1-06-449465-X.1490,0
1-155-39208-6.1514,0
0-89813-850-7.1530,0
1-58240-028-8.1533,0
1-55254-393-5.1547,0
1-871293-64-2.1552,0
1-225-54956-6.1573,0
0-01-719491-1.1581,0
0-386-55082-4.1586,0
0-548-72228-5.1605,0
0-523-19449-8.1609,0
0-624-68511-X.1625,0
0-255-46915-2.1652,0
0-7443-9953-X.1657,0
1-02-879181-X.1682,0
0-617-16331-6.1698,0
0-9784942-5-3.1710,0
0-19-771007-7.1722,0
0-216-20947-1.1739,0
1-04-656044-1.1753,0
0-19-735043-7.1754,0
0-649-70085-6.1803,0
0-8231-1046-X.1818,0
0-8268-7863-6.1834,0
0-447-01277-0.1846,0
0-371-27332-3.1869,0
1-55312-780-3.1877,1
1-101-14077-1.1887,0
1-4678-5223-6.1913,0
1-4833-8133-1.1914,0
1-882289-60-9.1923,0
0-464-19095-9.1927,0
1-5211-8586-7.1963,0
1-328-15235-9.1981,0
0-02-500735-1.1995,0
1-67359-650-9.1999,0
0-8047-3345-7.2003,0
0-9644984-3-X.2004,0
0-250-66019-9.2013,0
0-17-098013-8.2036,0
1-67106-427-5.2072,0
0-592-78243-3.2100,0
1-83819-588-2.2107,0
0-9656085-4-9.2110,0
1-330-09865-X.2119,0
0-278-99323-0.2120,0
0-8364-2095-0.2122,0
1-80069-476-8.2144,0
1-316-56311-1.2154,0
1-9828-9759-7.2169,0
0-12-188685-9.2176,0
0-00-330123-0.2181,1
0-9873700-3-0.2195,0
1-01-789500-7.2197,0
1-299-89153-5.2206,0
0-347-45410-0.2216,0
1-4864-0671-8.2221,0
1-179-61367-8.2227,0
1-105-95998-8.2234,0
0-545-23790-4.2248,0
1-56003-439-4.2249,0
0-693-08474-X.2269,0
1-141-81933-3.2275,0
1-319-49140-5.2288,0
0-672-58296-1.2299,0
0-400-48153-7.2313,1
1-883768-38-1.2316,0
1-07-678183-7.2318,0
1-85561-511-8.2322,0
1-187-28511-0.2334,0
0-341-94475-0.2339,1
1-916360-56-4.2362,0
0-19-301300-2.2372,0
1-5179-4757-X.2373,0
1-03-628952-4.2374,0
1-301-47502-5.2419,0
0-375-68670-3.2424,0
0-11-790346-9.2426,0
0-324-28213-3.2432,0
1-177-25994-X.2442,0
1-934381-76-4.2445,1
1-182-17162-1.2446,0
1-106-54619-9.2449,0
0-505-89275-8.2477,0
1-69806-357-1.2483,0
1-116-03589-8.2487,0
1-04-364565-9.2495,0
0-9830769-3-6.2498,0
0-392-09571-8.2500,0
1-873508-23-9.2515,0
0-372-96357-9.2518,0
0-8442-8842-X.2524,0
0-7298-4392-0.2527,0
1-9850-1366-5.2529,0
1-03-872363-9.2541,0
1-380-60685-3.2545,0
0-9625251-9-7.2574,0
1-08-561219-8.2581,0
0-9909502-8-X.2582,0
0-8206-1919-1.2583,0
0-86951-693-0.2588,0
1-187-44303-4.2589,0
0-446-84923-5.2620,0
1-212-91746-4.2624,0
1-80701-034-1.2634,1
1-67255-652-X.2636,0
1-5438-7888-1.2638,0
1-55906-673-3.2655,0
1-69260-139-3.2659,0
0-294-54385-6.2674,0
0-372-16484-6.2676,0
0-370-21703-9.2677,0
1-4751-1831-7.2692,0
0-241-22947-2.2693,1
0-257-71741-2.2696,0
1-08-686586-3.2700,0
0-489-88946-8.2709,0
0-9728965-3-8.2710,0
1-74187-395-9.2717,0
1-65410-629-1.2721,0
1-125-60411-5.2723,0
0-87279-729-5.2730,0
1-221-12159-6.2735,0
1-140-57208-3.2740,0
1-4362-1983-3.2741,0
0-8173-8634-3.2742,0
1-931323-17-8.2755,0
0-677-70687-1.2778,0
1-4660-8225-9.2785,0
1-72284-991-6.2787,0
1-81557-312-0.2794,0
0-616-12267-5.2795,0
1-78623-926-4.2808,0
0-7475-8920-8.2816,0
1-05-818404-0.2839,0
1-4082-0596-3.2848,0
1-69867-921-1.2854,0
0-7655-8753-X.2855,0
1-7371839-8-6.2858,0
0-07-357924-6.2865,0
1-271-21414-8.2894,0
0-910431-74-4.2901,0
0-642-82935-7.2908,0
1-5194-9888-8.2913,0
1-304-37637-0.2945,0
1-128-83304-2.2947,0
0-7013-1603-9.2955,0
0-579-43752-3.2982,0
1-81407-602-6.3002,0
1-346-92241-1.3009,0
1-00-597840-9.3010,0
1-170-24431-9.3016,0
1-4078-5904-8.3020,0
1-926734-83-1.3029,0
0-88862-903-6.3030,0
1-896300-51-0.3032,0
1-157-73542-8.3043,0
0-493-57984-2.3048,0
1-06-859370-9.3053,0
0-301-85266-9.3090,0
1-65009-335-7.3094,0
0-373-59478-X.3102,0
1-252-87459-6.3104,0
0-9873960-0-5.3106,0
1-58303-824-8.3110,0
0-321-93495-4.3118,0
0-8051-9461-4.3124,0
0-7733-8070-1.3125,0
1-65970-431-6.3131,0
0-218-09388-8.3132,0
1-72689-348-0.3145,0
0-9675209-3-2.3150,0
0-404-45693-6.3194,0
0-9756105-2-X.3210,0
1-114-57399-X.3218,0
1-275-11880-1.3243,0
0-05-255148-2.3251,0
0-519-28566-2.3259,0
1-83876-117-9.3260,0
1-392-01380-1.3264,0
1-355-56953-2.3282,0
1-06-564514-7.3283,1
0-510-05477-3.3288,0
1-56661-813-4.3293,0
0-07-782202-1.3317,0
1-02-296564-6.3318,0
1-57532-357-5.3323,0
1-5497-3760-0.3334,1
0-465-55141-6.3351,0
0-573-59518-6.3356,0
1-366-90166-5.3378,0
1-83806-246-7.3380,0
1-07-379470-9.3405,0
0-00-630062-6.3416,0
0-7554-7022-2.3441,0
0-275-46239-0.3473,0
0-684-45843-8.3474,0
0-252-59563-7.3493,0
0-269-37335-7.3503,0
1-74007-308-8.3510,0
0-05-595709-9.3512,0
1-334-57510-X.3518,0
0-635-92336-X.3533,0
1-317-97247-3.3552,0
0-451-79980-1.3553,1
1-119-80254-7.3561,0
1-910555-86-X.3572,0
0-17-542485-3.3576,0
1-71576-657-1.3582,0
0-01-355232-5.3593,0
0-87018-561-6.3606,0
0-9679679-5-3.3620,0
0-593-86417-4.3629,0
0-89734-537-1.3633,0
1-86151-823-4.3637,0
0-7936-1411-2.3640,0
1-9858-9557-9.3641,1
0-903003-27-9.3661,0
0-314-27885-0.3668,0
1-5003-9961-2.3682,0
0-370-32528-1.3692,0
1-75492-303-8.3702,1
0-486-76638-1.3748,1
1-70819-893-8.3749,0
1-83214-565-4.3752,0
1-69519-116-1.3768,0
1-03-160829-X.3774,0
0-87376-589-3.3778,0
1-7393142-8-X.3780,0
1-85490-655-0.3786,0
1-03-388153-8.3791,0
1-01-104237-1.3799,0
1-77015-104-4.3803,0
1-00-285290-0.3805,0
1-371-63569-2.3840,0
1-08-911777-9.3843,0
0-8217-9047-1.3846,0
1-961036-94-0.3859,0
0-272-28573-0.3871,0
0-16-548459-4.3874,0
1-04-865535-0.3886,0
1-217-17700-0.3889,0
0-518-51725-X.3904,0
0-02-921480-7.3908,0
1-330-09720-3.3911,0
1-4536-2295-0.3949,0
1-02-663795-3.3950,0
1-902868-26-9.3970,0
0-9819377-1-3.3998,0
0-7845-9700-6.4004,0
1-389-54685-3.4069,0
1-80312-274-9.4070,0
0-426-81027-9.4073,0
1-196-03358-7.4074,1
0-7846-2738-X.4076,0
1-5356-9677-X.4080,0
1-4361-9310-9.4082,0
1-901071-15-4.4093,0
0-514-66081-3.4109,0
0-284-52924-9.4124,0
1-4657-5614-0.4131,0
0-336-48037-7.4139,0
1-86316-639-4.4145,0
0-369-07425-4.4162,0
0-625-96035-1.4175,0
1-69324-747-X.4182,0
0-506-06905-2.4185,0
0-448-28214-3.4187,0
1-4306-5291-8.4218,0
0-364-51668-2.4226,0
1-9792-6075-3.4230,0
0-555-77580-1.4235,0
0-8378-6810-6.4241,0
1-4436-3622-3.4247,0
0-663-09813-0.4254,0
0-412-68010-6.4259,0
1-279-31840-6.4260,0
0-520-71066-5.4267,0
0-526-66782-6.4272,0
0-254-39137-0.4275,0
0-8141-1623-X.4277,0
1-4150-2600-9.4284,0
1-59313-142-9.4299,0
1-960759-56-6.4309,0
1-5483-1333-5.4312,0
1-243-14988-4.4334,0
0-606-73049-4.4352,0
1-303-48746-2.4360,0
1-901161-41-2.4370,0
1-901454-99-1.4383,0
0-9726177-8-7.4385,0
0-436-17889-3.4391,0
1-271-84968-2.4392,0
1-58460-578-2.4403,0
0-09-359178-0.4409,0
1-73070-235-X.4416,0
1-4839-2773-3.4437,0
1-265-95564-6.4438,0
1-05-646681-2.4446,0
0-88592-274-3.4457,0
1-81202-213-1.4469,0
1-69525-718-9.4474,0
0-07-886397-X.4478,0
0-436-16600-3.4526,0
0-7402-8723-0.4533,0
0-907026-61-3.4547,0
0-431-88244-4.4548,0
0-587-88084-8.4582,0
1-78680-698-3.4597,0
0-445-03357-6.4599,0
1-57227-338-0.4600,0
1-04-205528-9.4611,0
1-71589-963-6.4618,0
1-09-394471-4.4630,0
0-09-247438-1.4680,0
0-383-66963-4.4692,0
1-153-76151-3.4695,0
1-147-42399-7.4700,0
0-441-99171-8.4711,0
1-373-34973-5.4732,0
1-127-49340-X.4747,0
1-212-62010-0.4776,0
0-236-96735-5.4778,0
1-314-24093-5.4781,0
0-10-543690-9.4812,0
1-960167-60-X.4821,0
1-75160-196-X.4829,0
1-4004-7022-6.4830,1
1-141-70842-6.4852,0
1-79657-493-7.4855,0
1-09-380259-6.4856,0
1-63430-501-9.4857,0
0-331-26786-1.4873,0
0-10-722349-X.4900,0
1-208-56407-2.4908,0
1-904457-82-7.4979,0
0-01-581789-X.5004,0
1-388-19675-1.5028,0
0-940130-93-9.5035,0
1-02-758733-X.5045,0
1-75325-954-1.5088,1
0-663-37809-5.5091,0
1-04-710794-5.5114,0
0-463-65019-0.5118,0
1-76946-182-5.5122,0
1-376-15153-7.5132,0
0-17-164467-0.5134,0
1-79864-013-9.5143,0
0-291-29192-9.5146,0
0-85477-747-4.5165,0
1-66513-571-9.5174,0
0-363-96519-X.5183,0
0-14-315980-1.5206,0
1-955221-34-0.5237,0
1-106-28906-4.5246,0
1-347-92672-0.5248,0
1-264-63575-3.5255,0
1-167-09581-2.5279,0
1-889035-24-6.5304,0
1-66899-447-X.5321,0
1-4614-1688-4.5343,0
1-82720-669-1.5347,0
1-4172-9999-1.5349,0
0-09-842079-8.5365,0
0-8199-1902-0.5367,0
0-07-350919-1.5377,0
0-86852-294-5.5392,0
0-9840854-7-5.5394,0
1-5434-5818-1.5419,0
1-288-05031-3.5421,0
1-4212-4825-5.5432,0
0-7713-0605-9.5435,0
0-7243-0604-8.5439,0
0-371-97887-4.5441,0
0-17-395568-1.5446,0
1-04-307749-9.5450,0
1-5073-4674-3.5466,0
1-78361-597-4.5472,0
1-76266-975-7.5489,0
0-908527-01-2.5494,0
1-65341-756-0.5515,0
0-284-20940-6.5519,0
1-105-53878-8.5521,0
1-62164-418-9.5532,1
0-09-809139-5.5545,0
1-254-65526-3.5562,0
1-82406-275-3.5565,0
0-674-38016-9.5568,0
1-65559-935-6.5578,0
1-64022-588-9.5605,0
1-5034-5212-3.5621,0
0-8477-4661-5.5631,0
1-912125-16-1.5640,0
1-202-08358-7.5644,0
1-56993-049-X.5649,0
0-454-41178-2.5662,0
0-934497-76-1.5663,0
1-4479-7068-3.5665,0
1-249-31486-0.5670,0
1-86111-655-1.5672,0
1-74772-721-0.5674,0
0-03-988463-5.5677,0
0-14-059820-0.5687,0
1-334-33507-9.5689,0
1-900335-68-9.5691,0
1-4661-7216-9.5693,0
0-05-191497-2.5698,0
1-01-186994-2.5701,0
0-87085-379-1.5704,0
0-280-16011-9.5705,0
0-245-61911-9.5714,0
1-56821-288-7.5723,0
1-79999-145-8.5724,1
0-904732-13-4.5733,0
1-195-01111-3.5749,0
0-311-45712-6.5753,0
0-16-852305-1.5757,0
1-70612-397-3.5765,0
1-351-92935-6.5769,0
1-4251-1866-6.5776,0
1-123-84824-6.5780,0
0-215-16152-1.5797,0
0-308-20780-7.5809,1
0-13-137242-4.5811,0
1-75762-352-3.5813,0
1-189-81693-8.5818,0
1-7372752-3-6.5822,0
0-04-923125-1.5841,0
1-965167-60-8.5843,0
1-138-26791-0.5861,0
1-5235-7811-4.5866,0
1-84861-765-8.5899,0
1-76981-732-8.5905,0
1-63678-862-9.5911,0
1-359-14063-8.5914,0
1-4766-0054-6.5922,0
1-82120-718-1.5924,0
0-342-88816-1.5927,0
0-06-419402-7.5931,0
1-386-80122-4.5942,0
0-9561460-2-3.5978,0
0-515-36357-X.5993,0
1-177-48416-1.5997,0
1-78558-318-2.5998,0
0-603-18466-9.5999,0
0-917777-28-X.6002,0
1-124-09307-9.6006,0
1-201-44704-6.6021,0
0-624-47312-0.6022,0
0-272-75427-7.6030,0
1-279-59535-3.6031,0
1-194-40034-5.6043,0
0-16-888837-8.6048,0
0-592-41376-4.6071,0
0-566-71192-3.6076,0
1-216-12615-1.6085,0
1-79077-647-3.6089,0
1-04-742806-7.6096,0
0-449-64777-3.6098,0
0-275-07437-4.6107,0
0-12-346114-6.6122,0
1-380-30582-9.6134,0
1-149-18642-9.6142,1
0-9508986-0-0.6167,0
1-64179-880-7.6173,0
0-88588-075-7.6182,0
1-398-39373-8.6195,0
1-4733-5447-1.6214,0
0-659-57782-8.6217,0
1-79597-921-6.6227,0
1-5381-4882-X.6230,0
1-75174-690-9.6245,0
1-138-33277-1.6261,0
0-7865-6498-9.6269,0
0-9601816-8-7.6270,0
0-9653987-4-9.6278,0
0-9580943-9-X.6281,0
1-381-00672-8.6293,0
0-8253-7485-5.6296,0
0-235-65021-8.6302,0
0-412-25648-7.6309,0
1-391-71161-0.6326,0
0-925835-49-8.6338,0
0-17-936211-9.6342,0
0-584-28539-6.6365,0
0-17-317342-X.6368,0
0-9617414-9-X.6375,0
1-175-21654-2.6381,0
0-366-58129-5.6386,0
1-366-67493-6.6407,0
1-79943-991-7.6412,0
1-62243-270-3.6419,0
1-78909-698-7.6444,0
0-663-45250-3.6452,0
1-56871-138-7.6456,0
0-649-75072-1.6462,0
0-291-19624-1.6472,0
1-66243-511-8.6488,0
0-10-156184-9.6523,0
0-428-05775-6.6533,0
0-448-40488-5.6536,0
0-12-180233-7.6544,0
0-9525710-9-9.6556,0
0-589-72038-4.6567,0
1-106-45182-1.6568,0
0-8407-5336-5.6578,0
1-341-42602-5.6583,0
0-371-60441-9.6592,0
0-484-43556-6.6605,0
0-607-82036-5.6608,0
1-7364055-2-7.6627,0
1-07-873060-1.6637,0
0-02-046959-4.6638,0
1-337-20923-6.6643,1
1-912891-22-0.6653,1
0-512-10999-0.6692,0
0-06-199157-0.6699,0
1-218-71835-8.6725,1
1-73142-974-6.6737,0
0-565-70833-3.6744,0
1-264-27724-5.6747,0
0-511-18074-8.6771,0
0-294-65909-9.6778,0
0-233-30069-4.6785,0
0-564-37736-8.6789,0
0-7806-4548-0.6803,0
1-4459-7593-9.6809,0
0-09-728307-X.6819,0
0-218-03004-5.6825,0
1-66848-396-3.6826,0
0-11-638540-5.6854,0
0-07-550606-8.6856,0
1-81926-081-X.6865,0
0-620-00390-1.6872,0
0-278-23148-9.6889,0
1-177-64675-7.6894,0
0-9673579-7-7.6895,0
0-8466-1919-9.6907,0
0-08-201717-4.6910,0
0-7256-1158-8.6929,0
1-159-78604-6.6955,0
0-385-01508-9.6960,0
0-03-776100-5.6962,0
1-355-29590-4.7023,0
1-878040-04-9.7024,0
0-09-614531-5.7060,0
1-957859-38-5.7062,0
0-336-82825-X.7067,0
1-83704-904-1.7076,0
0-85722-238-4.7094,0
1-5283-3758-1.7108,0
1-86739-809-5.7124,0
0-689-20049-8.7137,0
1-927697-20-4.7139,0
1-55867-979-0.7152,0
0-913986-14-3.7156,0
0-89321-509-0.7201,0
0-7000-5313-1.7203,0
0-378-72487-8.7209,0
0-503-49554-9.7219,0
0-254-33537-3.7236,0
1-5440-8839-6.7244,0
0-7147-5784-5.7251,0
1-4118-7138-3.7253,0
1-05-065375-0.7261,0
0-06-019254-2.7278,0
0-8317-5821-X.7283,0
0-454-42328-4.7293,0
1-350-33370-0.7304,0
1-4948-5089-3.7306,0
0-9698101-5-6.7321,0
1-911853-59-7.7348,0
0-558-67939-0.7358,0
0-7920-7433-5.7372,0
1-5037-3579-6.7393,1
0-672-08673-5.7394,0
0-340-05282-1.7435,0
0-88011-104-6.7436,0
1-85835-931-7.7446,0
0-85073-971-3.7447,0
1-270-13615-1.7449,0
1-03-637805-5.7451,0
0-309-58384-5.7455,0
0-924691-92-1.7458,0
0-679-52588-2.7459,0
1-952286-05-0.7493,0
0-09-267463-1.7499,0
1-75826-503-5.7505,0
0-380-56575-7.7509,0
1-56701-329-5.7515,0
0-9653571-7-1.7521,0
1-5014-0644-2.7526,0
0-237-80164-7.7544,0
0-9929782-0-3.7549,0
1-4894-1746-X.7565,0
0-543-11965-3.7571,0
0-510-83983-5.7580,0
0-471-40688-0.7591,0
1-60293-665-X.7600,0
0-17-672701-9.7607,0
0-7060-9694-0.7612,0
1-4398-5899-3.7633,0
1-139-60279-9.7645,0
1-964703-39-5.7647,0
0-12-330401-6.7659,0
1-04-100719-1.7661,0
0-09-985200-4.7662,0
1-77719-739-2.7671,0
1-272-38501-9.7681,0
1-395-77346-7.7682,0
1-305-58145-8.7685,0
0-479-75756-9.7686,0
1-5303-9358-2.7697,1
0-444-43789-4.7698,0
1-5414-7450-3.7706,0
1-68009-164-6.7744,0
0-7060-6646-4.7758,0
1-56732-536-X.7761,0
0-669-00860-5.7766,0
1-65407-052-1.7767,0
1-132-84972-1.7768,0
1-5423-6928-2.7780,0
0-9793810-3-7.7781,0
1-07-200975-7.7788,0
1-73016-663-6.7795,0
0-7980-5965-6.7826,0
1-106-87122-7.7828,0
1-71478-963-2.7834,0
0-593-05372-9.7849,0
0-265-20752-5.7873,0
1-78194-760-0.7876,0
1-256-42083-2.7907,0
1-4019-4489-2.7910,0
1-09-774559-7.7946,0
1-894682-80-7.7962,0
0-18-119721-9.7972,0
0-365-36342-1.8006,0
1-250-04514-2.8011,0
0-05-938079-9.8027,0
1-337-66094-9.8042,1
1-59420-141-2.8050,0
1-08-062250-0.8052,0
1-219-56895-3.8060,0
1-120-78169-8.8074,0
1-74459-385-X.8088,0
1-76070-472-5.8092,0
1-03-966665-5.8103,0
0-349-74602-8.8109,0
0-8216-3046-6.8123,0
0-317-33088-8.8125,0
0-317-53248-0.8149,0
0-637-84528-5.8162,0
1-4856-7862-5.8169,0
1-5269-8229-3.8175,0
0-12-816534-0.8194,0
1-84462-337-8.8199,0
0-431-74291-X.8227,0
1-389-03810-6.8232,1
1-223-05304-0.8236,0
1-9828-8989-6.8245,0
0-491-52027-1.8251,0
1-993039-15-5.8259,0
1-67276-508-0.8266,0
0-7565-9825-7.8287,0
1-900294-16-8.8289,0
1-4783-2754-5.8300,0
1-888397-03-9.8338,0
1-72361-537-4.8356,0
0-606-90507-3.8357,0
0-15-528476-2.8359,0
0-336-26063-6.8366,0
0-09-686068-5.8370,0
0-7127-4618-8.8380,1
1-81729-348-6.8401,0
0-7573-5304-5.8404,0
0-9894544-9-5.8426,0
1-389-85776-X.8427,0
0-667-16319-0.8430,0
1-5431-7716-6.8436,0
1-07-515931-8.8459,0
0-9573128-8-1.8461,0
0-04-127088-6.8463,0
1-199-36208-5.8481,0
1-169-33323-0.8502,0
0-11-140431-2.8511,0
0-88593-925-5.8519,0
1-135-43653-3.8521,0
0-7928-7755-1.8526,0
1-68631-598-8.8538,0
1-121-07377-8.8550,0
1-82099-332-9.8574,0
0-305-34883-3.8604,0
0-18-474303-6.8619,0
0-668-12888-7.8626,0
0-392-86754-0.8682,0
0-09-579605-3.8712,0
0-535-08946-5.8718,0
0-02-248055-2.8723,0
1-08-951778-5.8725,0
0-18-942332-3.8742,0
1-77831-037-0.8753,0
1-7376206-4-2.8769,0
1-65229-064-8.8770,0
0-281-28442-3.8772,0
1-78341-464-2.8784,0
1-395-98203-1.8785,0
1-4352-6083-X.8792,0
0-19-973799-1.8794,0
1-07-241109-1.8808,0
0-9792687-6-1.8820,0
0-9996672-5-4.8822,0
0-516-55589-8.8836,0
1-72288-148-8.8862,0
0-07-299130-5.8865,0
0-910930-34-1.8871,0
1-4463-4048-1.8880,0
0-543-47923-4.8898,0
1-883423-12-0.8901,0
0-249-37578-8.8905,0
0-590-99498-0.8916,0
0-397-28000-9.8929,0
0-7784-9965-0.8951,0
0-661-24836-4.8952,0
0-08-815205-7.8962,0
0-670-72543-9.8964,0
0-86080-695-2.8967,0
1-81087-590-0.8970,0
0-02-492574-8.8971,0
1-5275-3958-X.8973,0
0-7591-8905-6.8974,0
0-310-21204-9.8978,0
0-906447-86-0.9002,0
0-14-536744-4.9018,0
1-09-093994-9.9022,0
1-4662-6623-6.9029,0
0-7237-8649-6.9033,0
0-7347-8906-8.9046,0
1-08-598051-0.9059,0
1-06-564595-3.9096,0
1-198-39860-4.9122,0
0-674-33471-X.9132,0
0-9969998-9-2.9154,0
0-207-08171-9.9172,0
1-956720-52-9.9192,1
0-278-46141-7.9198,0
0-8494-6022-0.9199,0
1-07-450969-2.9200,0
1-4565-8719-6.9203,0
1-903182-47-6.9206,0
1-01-339483-6.9217,0
0-287-47258-2.9241,0
1-84182-311-2.9257,0
0-925301-43-4.9260,0
1-361-29223-7.9299,0
0-15-553037-2.9305,0
1-77180-728-8.9327,0
0-7818-8524-8.9330,0
0-7119-7009-2.9334,0
1-347-49398-0.9339,0
0-676-24266-9.9358,0
1-176-08087-3.9371,0
0-12-792673-9.9374,0
0-290-52556-X.9375,0
1-261-44810-3.9392,0
1-316-08419-1.9396,0
0-8405-8154-8.9420,0
0-8317-5525-3.9422,0
1-215-69587-X.9431,0
0-7711-4023-1.9451,0
0-7889-2215-7.9459,0
1-306-89414-X.9466,1
1-272-07651-2.9472,0
0-9757657-4-4.9479,0
0-561-18003-2.9481,0
0-218-50481-0.9485,0
1-4299-4924-4.9498,0
0-421-73259-8.9499,0
1-4337-1612-7.9517,0
0-682-56493-1.9528,0
0-541-58390-5.9531,0
1-04-575394-7.9540,0
1-4167-5191-2.9548,0
1-147-61081-9.9596,0
0-12-422231-5.9603,0
0-550-97951-4.9625,0
0-424-40580-6.9627,0
0-287-32440-0.9630,0
0-370-96211-7.9632,0
0-07-559945-7.9641,0
1-394-06842-5.9643,0
0-07-771077-0.9649,0
0-375-42129-7.9659,0
1-881575-73-X.9664,0
0-05-756289-X.9680,0
0-87159-676-8.9684,0
0-89726-960-8.9686,0
0-8246-8456-7.9689,0
1-55405-534-2.9698,0
1-08-606727-4.9699,0
1-395-75207-9.9707,0
1-58111-944-5.9712,0
1-955252-06-8.9714,0
0-945448-53-8.9719,0
1-4711-9960-6.9732,0
1-71064-079-0.9742,0
1-957654-71-6.9743,0
1-67411-056-1.9764,0
1-107-09007-5.9774,0
1-80774-389-6.9775,0
1-387-19939-0.9791,0
1-992165-27-0.9799,0
1-4785-4806-1.9802,0
1-07-367462-2.9803,0
0-334-92037-X.9806,0
0-288-82100-9.9807,0
0-229-11605-1.9813,0
1-72204-556-6.9818,0
0-632-75584-9.9823,0
0-366-49789-8.9825,0
1-4230-5152-1.9826,0
0-290-54448-3.9829,0
1-4044-3520-4.9832,0
0-671-93804-5.9837,0
